total_time,number_of_moves,number_of_clicks,average_speed,max_speed,pause_count,path_length,label
210,18,9,7.914,22.650,0,1662,shifted
145,11,12,10.503,31.200,0,1523,shifted
330,24,7,5.806,18.740,0,1916,shifted
95,8,14,14.021,40.800,0,1332,shifted
410,27,6,4.978,16.350,0,2041,shifted
260,16,10,8.346,25.900,0,2170,shifted
180,13,11,9.672,29.430,0,1741,shifted
375,29,8,6.237,20.120,0,2339,shifted
125,9,13,12.416,36.700,0,1552,shifted
295,21,9,7.112,24.260,0,2098,shifted
440,31,6,4.752,15.840,1,2091,shifted
155,12,12,11.271,33.600,0,1747,shifted
225,17,10,8.902,26.480,0,2003,shifted
105,7,15,13.638,42.300,0,1432,shifted
350,25,8,6.474,21.900,0,2266,shifted
275,19,9,7.865,23.740,0,2163,shifted
165,10,13,10.988,34.150,0,1813,shifted
395,28,7,5.414,19.380,0,2139,shifted
115,8,14,12.791,39.200,0,1471,shifted
305,22,11,7.354,27.610,0,2243,shifted
